current_temperature,device_class,domain,entity_id,friendly_name,humidity,last_changed,last_updated,restored,state,temperature,unit_of_measurement
,power,sensor,sensor.deyeinverterslave_essential_load,deyeinverterslave_essential_load,,,,,unavailable,,W
,power,sensor,sensor.deyeinverterslave_non_essential_load,deyeinverterslave_non_essential_load,,,,,1106,,W
,,sensor,sensor.deyeinverterslave_priority_charge_or_load,deyeinverterslave_priority_charge_or_load,,,,,on,,
,power,sensor,sensor.deyeinverterslave_battery_charge_grid_power,deyeinverterslave_battery_charge_grid_power,,,,,0.076,,kW
,battery,sensor,sensor.deyeinvertercombined_battery_soc,deyeinvertercombined_battery_soc,,,,,0.0,,%
,voltage,sensor,sensor.deyeinvertercombined_battery_voltage,deyeinvertercombined_battery_voltage,,,,,52.484998703003,,V
,energy,sensor,sensor.deyeinvertercombined_summary_day_battery_charge,deyeinvertercombined_summary_day_battery_charge,,,,,0.0,,kWh
,energy,sensor,sensor.deyeinvertercombined_summary_day_load,deyeinvertercombined_summary_day_load,,,,,4.4,,kWh
,energy,sensor,sensor.deyeinvertercombined_summary_day_battery_discharge,deyeinvertercombined_summary_day_battery_discharge,,,,,2.9,,kWh
,energy,sensor,sensor.deyeinvertercombined_summary_day_pv,deyeinvertercombined_summary_day_pv,,,,,0.0,,kWh
,energy,sensor,sensor.deyeinvertercombined_summary_day_pv1,deyeinvertercombined_summary_day_pv1,,,,,0.1,,kWh
,energy,sensor,sensor.deyeinvertercombined_summary_day_pv2,deyeinvertercombined_summary_day_pv2,,,,,0.0,,kWh
,energy,sensor,sensor.deyeinvertercombined_summary_day_pv3,deyeinvertercombined_summary_day_pv3,,,,,0.0,,kWh
,energy,sensor,sensor.deyeinvertercombined_summary_day_pv4,deyeinvertercombined_summary_day_pv4,,,,,0.0,,kWh
,energy,sensor,sensor.deyeinvertercombined_summary_day_grid_import_buy,deyeinvertercombined_summary_day_grid_import_buy,,,,,5.5,,kWh
,energy,sensor,sensor.deyeinvertercombined_summary_day_grid_import_buy_half,deyeinvertercombined_summary_day_grid_import_buy_half,,,,,2.75,,kWh
,energy,sensor,sensor.deyeinvertercombined_summary_day_grid_export_sell,deyeinvertercombined_summary_day_grid_export_sell,,,,,0.0,,kWh
,energy,sensor,sensor.deyeinvertercombined_summary_total_pv,deyeinvertercombined_summary_total_pv,,,,,1.4322,,MWh
,energy,sensor,sensor.deyeinvertercombined_summary_total_load,deyeinvertercombined_summary_total_load,,,,,1.737,,MWh
,energy,sensor,sensor.deyeinvertercombined_summary_total_grid_import_buy,deyeinvertercombined_summary_total_grid_import_buy,,,,,0.4845,,MWh
,energy,sensor,sensor.deyeinvertercombined_summary_total_grid_export_sell,deyeinvertercombined_summary_total_grid_export_sell,,,,,0.0011,,MWh
,energy,sensor,sensor.deyeinvertercombined_summary_total_battery_discharge,deyeinvertercombined_summary_total_battery_discharge,,,,,0.6076,,MWh
,energy,sensor,sensor.deyeinvertercombined_summary_total_battery_charge,deyeinvertercombined_summary_total_battery_charge,,,,,0.6146,,MWh
,power,sensor,sensor.deyeinvertercombined_essential_load,deyeinvertercombined_essential_load,,,,,828.0,,W
,power,sensor,sensor.deyeinvertercombined_grid_load,deyeinvertercombined_grid_load,,,,,438.0,,W
,power,sensor,sensor.deyeinvertercombined_inverter_output_power,deyeinvertercombined_inverter_output_power,,,,,-116.0,,W
,power,sensor,sensor.deyeinvertercombined_battery_output_power,deyeinvertercombined_battery_output_power,,,,,-528.0,,W
,energy,sensor,sensor.deyeinvertercombined_solar_power_used,deyeinvertercombined_solar_power_used,,,,,0.0,,kWh
,power,sensor,sensor.deyeinvertercombined_pv_power,deyeinvertercombined_pv_power,,,,,413.0,,W
,power,sensor,sensor.deyeinvertercombined_pv1_power,deyeinvertercombined_pv1_power,,,,,231.0,,W
,power,sensor,sensor.deyeinvertercombined_pv2_power,deyeinvertercombined_pv2_power,,,,,185.0,,W
,power,sensor,sensor.deyeinvertercombined_pv3_power,deyeinvertercombined_pv3_power,,,,,0.0,,W
,power,sensor,sensor.deyeinvertercombined_pv4_power,deyeinvertercombined_pv4_power,,,,,0.0,,W
,power,sensor,sensor.deyeinvertercombined_grid_power_ct_clamp,deyeinvertercombined_grid_power_ct_clamp,,,,,1328.0,,W
,current,sensor,sensor.deyeinvertercombined_battery_output_current,deyeinvertercombined_battery_output_current,,,,,-10.1,,A
